ID,ESPECIE,CL_1,CW_1,SW_1,SL_1,DCL_1,OW_1,OIW_1,OL_1,LCR_1,WCR_1,WN_1
am1,Alligator_mississippiensis,72,40,37,35,71,17,5,20,15,25,11
am2,Alligator_mississippiensis,220,112,98,138,216,30,16,46,36,64,31
am3,Alligator_mississippiensis,225,150,89,140,220,32,17,52,37,82,30
am4,Alligator_mississippiensis,272,138,120,175,262,24,25,54,44,78,38
am5,Alligator_mississippiensis,288,148,126,180,275,40,22,58,42,82,40
am6,Alligator_mississippiensis,290,150,117,183,270,40,20,54,46,82,40
am7,Alligator_mississippiensis,292,150,127,166,284,49,26,56,48,86,39
am8,Alligator_mississippiensis,320,150,124,203,310,40,25,62,46,80,38
am9,Alligator_mississippiensis,354,178,137,240,337,42,25,69,50,89,51
am10,Alligator_mississippiensis,366,186,160,232,348,39,32,68,54,98,53
am11,Alligator_mississippiensis,380,236,210,238,358,52,27,63,63,120,64
cn1,Crocodylus_niloticus,160,64,46,100,153,20,9,22,30,39,9
cn2,Crocodylus_niloticus,198,94,70,121,186,25,13,31,32,48,13
cn3,Crocodylus_niloticus,248,243,76,159,235,30,16,41,42,105,15
cn4,Crocodylus_niloticus,254,114,71,158,235,28,16,40,42,65,15
cn5,Crocodylus_niloticus,420,235,170,270,400,37,42,60,68,105,42
cn6,Crocodylus_niloticus,440,250,170,280,420,42,50,65,70,120,48
cn7,Crocodylus_niloticus,525,290,220,360,495,45,48,72,82,145,54
cn8,Crocodylus_niloticus,582,336,218,382,554,48,58,72,76,105,57
cn9,Crocodylus_niloticus,610,345,268,400,564,46,90,85,76,164,56
cp1,Crocodylus_porosus,76,30,22,41,73,13,4,17,16,20,4
cp2,Crocodylus_porosus,548,74,56,364,513,23,10,29,26,44,48
cp3,Crocodylus_porosus,238,292,68,154,230,29,12,36,30,55,48
cp4,Crocodylus_porosus,408,200,148,274,390,38,36,57,54,110,32
cp5,Crocodylus_porosus,548,300,210,364,513,46,55,68,65,150,48
cp6,Crocodylus_porosus,565,292,216,405,550,45,64,70,90,160,48
cp7,Crocodylus_porosus,672,384,302,452,620,50,70,90,85,185,64
cp8,Crocodylus_porosus,800,416,324,516,740,63,82,100,105,204,75
ot1,Osteolaemus_tetraspis,164,90,70,90,160,36,16,42,32,57,20
ot2,Osteolaemus_tetraspis,188,107,71,92,160,29,13,38,35,65,18
ot3,Osteolaemus_tetraspis,170,98,72,98,165,31,14,42,35,60,20
ot4,Osteolaemus_tetraspis,173,107,70,100,165,33,12,40,35,60,22
ot5,Osteolaemus_tetraspis,175,102,73,102,165,32,14,42,38,64,24
ot6,Osteolaemus_tetraspis,185,105,77,105,175,32,14,44,40,61,22
ot7,Osteolaemus_tetraspis,185,105,78,105,175,33,16,40,40,61,22
ot8,Osteolaemus_tetraspis,188,107,82,108,180,33,16,40,40,65,24
ot9,Osteolaemus_tetraspis,188,104,80,110,178,34,15,44,40,64,24
ot10,Osteolaemus_tetraspis,190,108,80,112,180,32,16,45,38,65,24
ot11,Osteolaemus_tetraspis,194,110,82,114,182,34,15,44,38,67,24
ot22,Osteolaemus_tetraspis,194,117,92,117,180,34,18,43,42,70,23
ot23,Osteolaemus_tetraspis,203,108,88,116,193,35,16,46,40,69,26
ot24,Osteolaemus_tetraspis,210,107,91,124,178,36,19,48,40,65,26
ot25,Osteolaemus_tetraspis,225,128,105,128,215,40,20,52,45,75,28
ot26,Osteolaemus_tetraspis,240,136,91,133,222,38,19,51,46,76,27
